timestamp;window_ts;tabs_open;tabs_grouped;tabs_ungrouped;switches_within;switches_between;switches_from;switches_to;switches_outside
2020-05-29 11:50:08,997;5302485;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 11:55:14,565;5302486;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:00:20,129;5302487;5.0;3.0;2.0;0;1;1;1;0
2020-05-29 12:05:05,322;5302488;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:10:10,884;5302489;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:15:16,454;5302490;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:20:01,649;5302491;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:25:07,208;5302492;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:30:12,767;5302493;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:35:18,325;5302494;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:40:03,521;5302495;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:45:09,086;5302496;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:50:14,651;5302497;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 12:55:20,217;5302498;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:00:05,414;5302499;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:05:10,981;5302500;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:10:16,548;5302501;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:15:01,743;5302502;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:20:07,309;5302503;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:25:12,875;5302504;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:30:18,445;5302505;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:35:03,641;5302506;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:40:09,211;5302507;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:45:14,778;5302508;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:50:20,348;5302509;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 13:55:05,544;5302510;5.0;3.0;2.0;0;0;0;0;0
2020-05-29 14:00:11,104;5302511;5.2;2.6666666666666665;2.533333333333333;0;1;4;3;15
2020-05-29 14:05:16,669;5302512;3.0;2.0;1.0;0;0;0;0;0
2020-05-29 14:10:01,863;5302513;3.0714285714285716;2.0;1.0714285714285714;0;0;0;0;1
2020-05-29 14:15:07,425;5302514;4.666666666666667;2.533333333333333;2.1333333333333333;2;0;4;5;2
2020-05-29 14:20:12,987;5302515;4.933333333333334;2.8666666666666667;2.066666666666667;0;1;2;2;0
2020-05-29 14:25:18,551;5302516;5.0;1.0;4.0;0;0;0;0;10
2020-05-29 14:30:03,744;5302517;5.0;1.0;4.0;0;0;0;0;0
2020-05-29 14:35:09,307;5302518;5.0;1.0;4.0;0;0;0;0;0
2020-05-29 14:40:14,874;5302519;4.733333333333333;1.0;3.7333333333333334;0;0;0;0;9
2020-05-29 14:45:00,069;5302520;6.0;1.0;5.0;0;0;0;0;1
2020-05-29 14:45:06,907;5302520;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 14:50:05,631;5302521;7.666666666666667;1.0;6.666666666666667;0;0;0;0;22
2020-05-29 14:50:12,489;5302521;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 14:55:11,194;5302522;7.066666666666666;1.0;6.066666666666666;0;0;0;0;4
2020-05-29 14:55:18,067;5302522;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 15:00:03,273;5302523;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 15:00:16,757;5302523;7.2;1.0;6.2;0;0;0;0;4
2020-05-29 15:05:01,949;5302524;7.428571428571429;1.0;6.428571428571429;0;0;0;0;4
2020-05-29 15:05:08,847;5302524;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 15:10:07,510;5302525;7.2;1.0;6.2;0;0;2;2;6
2020-05-29 15:10:14,421;5302525;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 15:15:13,069;5302526;6.2;1.0;5.2;0;0;2;2;8
2020-05-29 15:15:19,988;5302526;1.0;0.0;1.0;0;0;0;0;0
2020-05-29 15:20:05,185;5302527;1.2142857142857142;0.0;1.2142857142857142;0;0;0;0;5
2020-05-29 15:20:18,632;5302527;4.8;1.0;3.8;0;0;1;2;9
